,businessDate,newMarketLoanCount,totalMarketLoanVal,newBilateralLoanCount,totalBilateralLoanVal
0,2023-06-16,48,3305577528.0,10309,142470848024.74
1,2023-06-15,55,3548411128.0,9245,137873480196.61
2,2023-06-14,57,3312266128.0,9101,135436903825.55
3,2023-06-13,41,3380697002.0,8861,133108489748.17
4,2023-06-12,32,3315264073.0,8839,131015402163.37
5,2023-06-09,66,3230546823.0,8794,128330265027.94
6,2023-06-08,78,3185160758.0,9504,134435802476.31
7,2023-06-07,45,3121643158.0,8986,133259319004.86
8,2023-06-06,96,3325040258.0,9611,135856540366.56
9,2023-06-05,62,3159380558.0,8845,132298838594.85
10,2023-06-02,51,2797877358.0,10465,137075019380.41
11,2023-06-01,35,2734003558.0,10540,134537141642.35
12,June Total,666,0.0,113100,0.0
13,June Avg.,56,3201322360.83,9425,134641504204.31
14,2023 YTD Total,3350,0.0,1093973,0.0
15,2023 YTD Avg.,29,2535913795.78,9513,125189383325.01
