,Average Volume,Short Interest,Settlement Date,Days to Cover
0,13319845,116800869,2023-05-31,8.770000
1,18627601,105904172,2023-05-15,5.690000
2,17671690,134013830,2023-04-28,7.580000
3,48170947,137465578,2023-04-14,2.850000
4,27747225,138836691,2023-03-31,5.000000
5,28580783,127209002,2023-03-15,4.450000
6,62942093,125961266,2023-02-28,2.000000
7,41570955,131637788,2023-02-15,3.170000
8,33924264,118266052,2023-01-31,3.490000
9,24449751,116364530,2023-01-13,4.760000
10,27793689,113442490,2022-12-30,4.080000
11,34743768,108487434,2022-12-15,3.120000
12,22508104,100109744,2022-11-30,4.450000
13,30217469,111534852,2022-11-15,3.690000
14,19486818,101835976,2022-10-31,5.230000
15,25956941,104360202,2022-10-14,4.020000
16,25448389,98918241,2022-09-30,3.890000
17,26913320,100011800,2022-09-15,3.720000
18,56850037,102882941,2022-08-31,1.810000
19,69383841,89152605,2022-08-15,1.280000
20,33099933,95091742,2022-07-29,2.870000
21,38218788,96155658,2022-07-15,2.520000
22,40389287,101375089,2022-06-30,2.510000
