,date,amount,num_parties,average,moving_average
0,2023-03-13,2126.68,97,21.92,
1,2023-03-14,2042.58,95,21.5,
2,2023-03-15,2055.82,101,20.35,
3,2023-03-16,2066.32,103,20.06,
4,2023-03-17,2106.17,97,21.71,
5,2023-03-20,2098.39,97,21.63,
6,2023-03-21,2194.63,104,21.1,
7,2023-03-22,2279.61,104,21.92,
8,2023-03-23,2233.96,99,22.57,
9,2023-03-24,2218.46,100,22.18,
10,2023-03-27,2220.13,98,22.65,
11,2023-03-28,2231.75,102,21.88,
12,2023-03-29,2264.86,104,21.78,
13,2023-03-30,2271.53,102,22.27,
14,2023-03-31,2375.17,108,21.99,
15,2023-04-03,2221.01,101,21.99,
16,2023-04-04,2219.38,103,21.55,
17,2023-04-05,2243.01,107,20.96,
18,2023-04-06,2173.66,105,20.7,
19,2023-04-10,2239.66,115,19.48,
20,2023-04-11,2297.21,109,21.08,
21,2023-04-12,2303.86,106,21.73,
22,2023-04-13,2321.7,101,22.99,
23,2023-04-14,2253.79,104,21.67,
24,2023-04-17,2256.84,102,22.13,
25,2023-04-18,2238.99,106,21.12,
26,2023-04-19,2294.68,110,20.86,
27,2023-04-20,2277.26,103,22.11,
28,2023-04-21,2290.02,105,21.81,
29,2023-04-24,2308.54,103,22.41,
30,2023-04-25,2275.4,100,22.75,
31,2023-04-26,2279.56,97,23.5,
32,2023-04-27,2273.93,101,22.51,
33,2023-04-28,2325.48,108,21.53,
34,2023-05-01,2239.87,103,21.75,
35,2023-05-02,2267.13,102,22.23,
36,2023-05-03,2258.22,102,22.14,
37,2023-05-04,2242.4,101,22.2,
38,2023-05-05,2207.42,101,21.86,
39,2023-05-08,2217.6,104,21.32,
40,2023-05-09,2222.86,100,22.23,
41,2023-05-10,2233.15,104,21.47,
42,2023-05-11,2242.24,102,21.98,
43,2023-05-12,2229.2,100,22.29,
44,2023-05-15,2220.93,103,21.56,
45,2023-05-16,2203.21,101,21.81,
46,2023-05-17,2213.68,103,21.49,
47,2023-05-18,2238.27,102,21.94,
48,2023-05-19,2276.72,106,21.48,
49,2023-05-22,2275.31,105,21.67,
50,2023-05-23,2256.69,102,22.12,
51,2023-05-24,2250.71,105,21.44,
52,2023-05-25,2197.64,106,20.73,
53,2023-05-26,2189.68,107,20.46,
54,2023-05-30,2200.48,103,21.36,
55,2023-05-31,2254.86,107,21.07,
56,2023-06-01,2160.05,102,21.18,
57,2023-06-02,2142.1,104,20.6,
58,2023-06-05,2131.42,105,20.3,
59,2023-06-06,2134.64,101,21.14,
60,2023-06-07,2161.56,108,20.01,
61,2023-06-08,2141.8,104,20.59,
62,2023-06-09,2127.65,102,20.86,
63,2023-06-12,2126.87,106,20.06,
64,2023-06-13,2074.52,105,19.76,
65,2023-06-14,2109.1,106,19.9,
66,2023-06-15,1992.14,103,19.34,
67,2023-06-16,2011.56,104,19.34,
